state_name,county_name,year,vacancy_rate,median_income,median_home_value,median_rent,percent_income_spent_on_rent
Connecticut,"Fairfield County, Connecticut",2009,0.07010451052951432,81114.0,484200.0,1184.0,2690.0
Connecticut,"Fairfield County, Connecticut",2010,0.07357622329197055,81268.0,477700.0,1206.0,2759.0
Connecticut,"Fairfield County, Connecticut",2011,0.07706607608795325,82558.0,466700.0,1249.0,2848.0
Connecticut,"Fairfield County, Connecticut",2012,0.07686336264735563,82614.0,447500.0,1279.0,2837.0
Connecticut,"Fairfield County, Connecticut",2013,0.07921178502624061,82283.0,432100.0,1302.0,2799.0
Connecticut,"Fairfield County, Connecticut",2014,0.08028879034571006,83163.0,422400.0,1327.0,2760.0
Connecticut,"Fairfield County, Connecticut",2015,0.08041677210663557,84233.0,416000.0,1348.0,2698.0
Connecticut,"Fairfield County, Connecticut",2016,0.08095696351069401,86670.0,413400.0,1385.0,2698.0
Connecticut,"Fairfield County, Connecticut",2017,0.0849925754110621,89773.0,417800.0,1439.0,2726.0
Connecticut,"Fairfield County, Connecticut",2018,0.08223202757958917,92969.0,422300.0,1470.0,2771.0
Connecticut,"Fairfield County, Connecticut",2019,0.08690027243568237,95645.0,428500.0,1499.0,2815.0
Connecticut,"Fairfield County, Connecticut",2020,0.07816386120231134,97539.0,433000.0,1511.0,2826.0
Connecticut,"Litchfield County, Connecticut",2009,0.11313262580319111,69561.0,287200.0,866.0,1892.0
Connecticut,"Litchfield County, Connecticut",2010,0.11452884870737931,69639.0,285800.0,883.0,1927.0
Connecticut,"Litchfield County, Connecticut",2011,0.12285953503308904,71497.0,279600.0,898.0,1975.0
Connecticut,"Litchfield County, Connecticut",2012,0.12775194153627636,71345.0,272000.0,931.0,1983.0
Connecticut,"Litchfield County, Connecticut",2013,0.1326226842840459,71338.0,263600.0,926.0,1959.0
Connecticut,"Litchfield County, Connecticut",2014,0.14014173048348383,72068.0,259800.0,946.0,1930.0
Connecticut,"Litchfield County, Connecticut",2015,0.14784955458735005,72061.0,254600.0,955.0,1889.0
